energies,mcnp yield,mcnp unc,sammy yield
3100.0,0.1288086316995625,8.2477767162603e-05,0.1292701462490452
4100.0,0.1133569500691155,7.25838634469019e-05,0.11274004134123063
5100.0,0.1012054994223111,6.480313863124966e-05,0.10136990604119289
6100.0,0.0922424937470361,5.906401474328952e-05,0.09241640587667535
8100.0,0.079823651607528,5.111207583285582e-05,0.08024293212493996
10100.0,0.0673254191977245,4.31093023460277e-05,0.06696746013040411
15100.0,0.0522078052671972,3.342930632895653e-05,0.051932284370869726
20100.0,0.0434115501625453,2.77969549030326e-05,0.043270179326158745
25100.0,0.0376491487016808,2.4107217657044607e-05,0.037638443596782804
40100.0,0.0280454671240407,1.795786102920712e-05,0.028005218585422577
50100.0,0.0244786943813141,1.5674012129370404e-05,0.024391816845994233
60100.0,0.0219431914796814,1.405049812101782e-05,0.021946708508335334
