energies,mcnp yield,mcnp unc,sammy yield
3100.0,0.0236039030050534,1.7021016517159722e-05,0.023546449136084748
4100.0,0.0194463049363903,1.402292991329278e-05,0.019384361633425974
5100.0,0.016697035288797,1.2040403376397856e-05,0.016651384867245846
6100.0,0.0148047955457273,9.47969451890844e-06,0.014766619027721781
8100.0,0.0123547644971638,7.910909199956446e-06,0.012332247204104576
10100.0,0.0101080214534932,6.472291716135378e-06,0.010063732012088473
15100.0,0.0075983180938308,4.865297475033272e-06,0.0075751620816196935
20100.0,0.0062395078737273,3.995234409591656e-06,0.006221037576739636
25100.0,0.0053759266274401,3.442272608682241e-06,0.005354212383658812
40100.0,0.0039691864433505,2.5415193918308007e-06,0.003958011685044875
50100.0,0.0034615277789612,2.216459242001372e-06,0.0034492402735387764
60100.0,0.0031059403206101,1.988772174691886e-06,0.003098116514376376
