energies,mcnp yield,mcnp unc,sammy yield
3100.0,0.089768884609002,6.473326327979337e-05,0.0902286757709339
4100.0,0.0773750697422761,4.954421844398257e-05,0.07703188259053736
5100.0,0.0681592625496027,4.364322260369106e-05,0.06820778438228606
6100.0,0.0615505691208003,3.941159409651824e-05,0.06157814569715778
8100.0,0.0525749849339739,3.366441603133954e-05,0.052756199043190156
10100.0,0.0438351186854187,2.8068171090535063e-05,0.043759412372907605
15100.0,0.0335751547303777,2.1498588702964e-05,0.03352978068565268
20100.0,0.0277623816997745,1.7776597915068836e-05,0.02770154570747218
25100.0,0.0239987889247391,1.5366722703303213e-05,0.023983612626877187
40100.0,0.0177902633984979,1.139132667572366e-05,0.01776915257459577
50100.0,0.0155145143854946,9.934136309376169e-06,0.015493746067924294
60100.0,0.0139060327787982,8.904205553245897e-06,0.013887964516531907
