energies,mcnp yield,mcnp unc,sammy yield
3100.0,0.0235470448400348,1.698001551127911e-05,0.023578989548647337
4100.0,0.0193955454782023,1.398632674745044e-05,0.019353693421008285
5100.0,0.0166486233065788,1.0660320341424434e-05,0.016614538745848072
6100.0,0.0147586961753711,9.450176519342648e-06,0.014755790664109113
8100.0,0.0123129567746541,7.884139195825072e-06,0.012316684903501865
10100.0,0.0100701858492176,6.448065108657876e-06,0.010063052528658512
15100.0,0.0075668462133044,4.845145638933686e-06,0.0075587573734614165
20100.0,0.0062128901412277,3.978190744780299e-06,0.006211118003546534
25100.0,0.0053513312725783,3.4265238973978864e-06,0.005346063478512494
40100.0,0.0039499452283015,2.52919900278699e-06,0.003942696567670058
50100.0,0.003443830604225,2.2051275211526515e-06,0.0034368700008345207
60100.0,0.0030900824825833,1.978618203989626e-06,0.0030865525126741538
