energies,mcnp yield,mcnp unc,sammy yield
3100.0,0.087142817606569,6.283957943377818e-05,0.08583158795910319
4100.0,0.074896137005349,4.795692701490417e-05,0.07340298173656457
5100.0,0.0658497166897231,4.216439169640529e-05,0.06453786986434039
6100.0,0.0593919554087287,3.80294069186162e-05,0.058235348126427944
8100.0,0.0506172419046506,3.241084884716699e-05,0.04985130497174638
10100.0,0.0421176325785408,2.6968443398694656e-05,0.04123493729248026
15100.0,0.0321757223310866,2.060251475150903e-05,0.03154360242776871
20100.0,0.0265785277951486,1.7018561552039883e-05,0.02602204365904366
25100.0,0.022959306898369,1.298774527934388e-05,0.02255480241734433
40100.0,0.0170073863433486,9.620830570913044e-06,0.01670390668404427
50100.0,0.0148267061937669,8.38725159381858e-06,0.014585281110279734
60100.0,0.0132931394968016,7.519735265157723e-06,0.013078725314078487
