energies,mcnp yield,mcnp unc,sammy yield
3100.0,0.1644467340018412,0.0001052972868253,0.16540653265704486
4100.0,0.1470091089626511,9.413175887221584e-05,0.14709254201993524
5100.0,0.1326806210716732,8.495705006216744e-05,0.13260929297740923
6100.0,0.1218938439590644,7.805014266481429e-05,0.12217867403796423
8100.0,0.1066682435703147,6.830100157694728e-05,0.10726444517410275
10100.0,0.0908787991570948,5.81908241551586e-05,0.09049437975467511
15100.0,0.071300351409307,4.5654500824641314e-05,0.07100268733912708
20100.0,0.0596461579529822,3.819217596584884e-05,0.059369737623822916
25100.0,0.0518816054516095,3.322043653441292e-05,0.0518854460942601
40100.0,0.0388345151086841,2.486622249413677e-05,0.03877886960591345
50100.0,0.0339585419522055,2.1744076304204743e-05,0.033866019344180216
60100.0,0.0304308839313268,1.9485273046718465e-05,0.030458536511277216
