energies,mcnp yield,mcnp unc,sammy yield
3100.0,0.023566079227396,1.699374140320467e-05,0.02357124183137053
4100.0,0.0194127105123721,1.3998704629619344e-05,0.019427030450702758
5100.0,0.0166650344673603,1.067082861156089e-05,0.01663413557495714
6100.0,0.0147734903398491,9.4596494066568e-06,0.014773565525133682
8100.0,0.0123259451057972,7.892455785619694e-06,0.012337194160587558
10100.0,0.0100810999658356,6.45505355312254e-06,0.010067420636422545
15100.0,0.0075752369549222,4.8505183350359655e-06,0.007573269591015484
20100.0,0.0062200525391528,3.98277691715554e-06,0.006219317577351106
25100.0,0.0053573976871823,3.430408298036386e-06,0.005352774341574168
40100.0,0.0039543760813505,2.5320361330420566e-06,0.003951737617191161
50100.0,0.0034477905474265,2.20766312198188e-06,0.003444403652667
60100.0,0.0030935884351246,1.980863108958864e-06,0.0030902465687734746
