energies,mcnp yield,mcnp unc,sammy yield
3100.0,0.1565930779312743,0.0001002684932715,0.15617022063412028
4100.0,0.1392665996070369,8.917413394086741e-05,0.1381997861115282
5100.0,0.1252517878921502,8.020027588340257e-05,0.12446844355168481
6100.0,0.1147618580706645,7.348344349451007e-05,0.11393175144880614
8100.0,0.1000043436974367,6.403402369776222e-05,0.09952874503543464
10100.0,0.084799104632516,5.42979202185068e-05,0.08372400685854536
15100.0,0.0661119542427761,3.739856893004939e-05,0.06522440761114351
20100.0,0.0551489561501016,3.119696069527712e-05,0.05454554886266357
25100.0,0.0478747875891588,2.7082069561727847e-05,0.047331734927583545
40100.0,0.0357150135571151,2.020346262112448e-05,0.03536244622315781
50100.0,0.0311853447003371,1.764109496899869e-05,0.030851574891689167
60100.0,0.0279601600088135,1.5816654996234394e-05,0.027698273549410693
